index,word,value
0,,0
173,innovation,-0.4372999637023148
367,classified,0.17328679513998632
298,different,0.07192051811294521
26,types,0.17328679513998632
39,conclusion,-0.6931471805599453
173,innovation,-0.1699405809819766
159,important,0.17896613835648115
268,complex,0.17896613835648115
220,issues,0.17896613835648115
325,organizations,0.022021525689608336
36,faced,0.17896613835648115
292,today,0.17896613835648115
173,innovation,-0.4372999637023148
393,success,0.17328679513998632
10,key,0.17328679513998632
325,organizations,-0.10136627702704111
106,company,0.12206803207423442
173,innovation,-0.10425218206588113
340,process,0.09010335735736986
94,creation,0.16711971075291934
266,playing,0.16711971075291934
104,product,-0.031964674716864545
236,enters,0.16711971075291934
34,growth,0.16711971075291934
390,step,0.16711971075291934
106,company,0.12039728043259362
221,play,0.16094379124341004
17,change,0.16094379124341004
104,product,-0.01823215567939546
183,supplying,0.16094379124341004
69,market,0.12039728043259362
287,because,0.16094379124341004
276,another,0.16094379124341004
27,companies,0.16094379124341004
395,reached,0.16094379124341004
205,technology,-0.7520386983881371
75,producing,0.0
261,references,-1.0986122886681098
1,freeman,-0.6931471805599453
194,economics,0.17328679513998632
89,industrial,0.058750453655716954
173,innovation,-0.1320065842811642
197,2nd,0.17328679513998632
264,end,0.17328679513998632
394,london,0.17328679513998632
334,frances,0.17328679513998632
12,printer,0.17328679513998632
62,dodgson,-0.6931471805599453
7,systematic,0.17328679513998632
296,integration,0.17328679513998632
173,innovation,-0.1320065842811642
305,press,0.01669142407806532
124,firm,0.08664339756999316
115,australian-asia,0.17328679513998632
211,management,-0.09422147529704752
42,center,0.17328679513998632
168,afuah,-0.6931471805599453
173,innovation,-0.10425218206588113
211,management,-0.07066541852444408
157,strategies,0.16711971075291934
166,implementations,0.16711971075291934
114,profits,0.16711971075291934
120,york,0.013087003961820384
352,oxford,0.12206803207423442
252,university,0.09010335735736986
305,press,0.02792382536454513
3,betz,-0.6931471805599453
33,managing,0.16711971075291934
205,technology,0.0
302,competing,0.16711971075291934
143,ventures,0.16711971075291934
173,innovation,-0.10425218206588113
307,corporate,0.16711971075291934
389,research,0.04505167867868493
382,prentice,0.16711971075291934
52,hall,0.16711971075291934
210,calantone,-0.6931471805599453
293,cavusgil,-0.6931471805599453
386,zhao,-0.6931471805599453
319,learning,0.12104255148388623
229,orientation,0.17896613835648115
124,firm,0.15989022512440645
173,innovation,-0.1699405809819766
153,capability,0.17896613835648115
124,firm,0.15989022512440645
362,performance,0.12104255148388623
89,industrial,-0.4581453659370775
342,marketing,-0.6931471805599453
211,management,-2.833213344056216
271,cooper,-0.6931471805599453
102,kleinschmidt,-0.6931471805599453
258,major,0.1831020481113516
331,products,0.1831020481113516
30,distinguishes,0.1831020481113516
136,winners,0.1831020481113516
146,chemical,0.1831020481113516
121,industry,0.1831020481113516
323,journal,-2.70805020110221
104,product,-0.27465307216702745
173,innovation,-0.4372999637023148
211,management,-0.36172974573408134
100,vol,0.17328679513998632
29,pp,-0.6931471805599453
397,90-111,-0.6931471805599453
339,edosomwan,-0.6931471805599453
160,integrating,0.17328679513998632
173,innovation,-0.1320065842811642
205,technology,-0.014722879457047939
211,management,-0.09422147529704752
270,newyork,0.17328679513998632
308,john,0.08664339756999316
66,wiley,0.17328679513998632
187,sons,0.17328679513998632
234,evangelista,-0.6931471805599453
163,imammarino,-0.6931471805599453
254,mastrostefano,-0.6931471805599453
349,silvani,-0.6931471805599453
369,measuring,0.18325814637483104
84,regional,0.18325814637483104
360,dimension,0.18325814637483104
173,innovation,-0.3052112606990099
174,lessons,0.18325814637483104
74,italian,0.18325814637483104
173,innovation,-0.3052112606990099
358,survey,0.18325814637483104
366,technovation,0.18325814637483104
320,733-755,0.18325814637483104
263,tohidi,0.0
40,modelling,0.1493132891023379
318,business,0.1493132891023379
185,services,0.1493132891023379
171,service,0.11552453009332421
198,oriented,0.1493132891023379
113,enterprises,0.1493132891023379
212,procedia-computer,0.04491637506105724
18,science,-0.012845889985604863
323,journal,-0.01859529594285081
98,elsevier,0.00725094808246914
95,usa,0.015193463066162882
263,tohidi,0.0
294,the,0.0915510240556758
273,role,0.11552453009332421
123,risk,0.1493132891023379
211,management,-0.02902555785568464
164,systems,0.11552453009332421
325,organizations,0.057762265046662105
212,procedia-computer,0.04491637506105724
18,science,-0.012845889985604863
323,journal,-0.01859529594285081
98,elsevier,0.00725094808246914
95,usa,0.015193463066162882
263,tohidi,-0.007910125180875437
103,human,0.11811663492093281
142,resources,0.11811663492093281
211,management,-0.07914874022869918
154,main,0.11811663492093281
273,role,0.11811663492093281
140,information,0.055103254870028685
205,technology,0.018242790496559205
110,project,0.11811663492093281
211,management,-0.07914874022869918
189,procedia-,0.15497709929440232
206,computer,0.18325814637483104
18,science,-0.20592388343623164
323,journal,-0.21972245773362198
98,elsevier,-0.15769147207285406
95,usa,-0.13862943611198905
263,tohidi,0.011010762844804168
44,mohammad,0.1389935820753795
170,mehdi,0.1389935820753795
28,jabbari,0.1389935820753795
294,the,0.08948306917824057
154,main,0.11003178863908207
341,requirements,0.1389935820753795
251,implement,0.1389935820753795
70,electronic,0.1389935820753795
117,city,0.1389935820753795
212,procedia-computer,0.049510512897138946
18,science,0.0
323,journal,-0.004928062249067959
98,elsevier,0.017225861201206286
95,usa,-2.3025850929940455
263,tohidi,-0.050683138513520555
161,review,0.17328679513998632
134,benefits,0.17328679513998632
350,engineering,0.17328679513998632
140,information,0.035960259056472606
205,technology,-0.014722879457047939
110,project,0.12260365662646577
211,management,-0.09422147529704752
212,procedia-computer,-0.06729444732424258
18,science,-0.20592388343623164
323,journal,-0.21972245773362198
98,elsevier,-0.15769147207285406
95,usa,-0.13862943611198905
263,tohidi,0.0
256,teamwork,0.0915510240556758
145,productivity,0.0915510240556758
50,effectiveness,0.1493132891023379
346,organization,0.11552453009332421
133,base,0.1493132891023379
181,rewards,0.1493132891023379
381,leadership,0.1493132891023379
354,training,0.1493132891023379
184,goals,0.1493132891023379
65,wage,0.1493132891023379
47,size,0.11552453009332421
152,motivation,0.16711971075291934
144,measurement,0.16711971075291934
140,information,0.04505167867868493
279,technolog,0.16711971075291934
212,procedia-computer,0.02792382536454513
18,science,-0.04909252803100435
323,journal,-0.05675840264066563
98,elsevier,-0.02229674394023901
95,usa,-0.011706723961980697
263,tohidi,-0.01823215567939546
228,e-government,0.16094379124341004
298,different,0.12039728043259362
188,dimensions,0.16094379124341004
388,iran,0.16094379124341004
212,procedia-computer,0.03566749439387324
18,science,-0.03364722366212129
323,journal,-0.04054651081081645
98,elsevier,-0.00953101798043249
95,usa,0.0
263,tohidi,0.017980129528236303
178,aslan,0.10462352709822947
96,azimi,0.10462352709822947
239,afshar,0.10462352709822947
214,aida,0.10462352709822947
63,jafari,0.10462352709822947
359,using,0.12996509635498973
265,balanced,0.12996509635498973
208,scored,0.12996509635498973
105,card,0.12996509635498973
182,educational,0.10462352709822947
325,organizations,0.06130182831323289
148,procedia,0.10462352709822947
329,-,0.10462352709822947
269,social,0.08664339756999316
126,behavioral,0.10462352709822947
111,sciences,0.0
98,elsevier,-0.4330943280434203
95,usa,-0.40132426810864535
263,tohidi,0.014876236754280651
178,aslan,0.10729586082894002
96,azimi,0.10729586082894002
239,afshar,0.10729586082894002
214,aida,0.10729586082894002
63,jafari,0.10729586082894002
230,strategic,0.134326868036151
202,planning,0.134326868036151
314,iranian,0.134326868036151
182,educational,0.10729586082894002
325,organizations,0.06108604879161034
148,procedia,0.10729586082894002
329,-,0.10729586082894002
269,social,0.0881170559988213
126,behavioral,0.10729586082894002
111,sciences,0.0
98,elsevier,-0.4330943280434203
95,usa,-0.40132426810864535
263,tohidi,-2.4849066497880004
222,tarokh,0.11811663492093281
145,productivity,0.09196371924349818
68,outcomes,0.15497709929440232
256,teamwork,0.09196371924349818
237,effect,0.15497709929440232
140,information,0.055103254870028685
205,technology,0.018242790496559205
241,team,0.15497709929440232
47,size,0.11811663492093281
192,international,0.09196371924349818
323,journal,-0.028195902573076328
90,production,0.10216512475319815
165,economicsisi,0.18325814637483104
98,elsevier,-0.15769147207285406
305,press,-0.06729444732424258
57,netherlands,0.18325814637483104
263,tohidi,-2.4849066497880004
222,tarokh,0.12039728043259362
73,modeling,0.16094379124341004
155,analysis,0.16094379124341004
145,productivity,0.09162907318741552
256,teamwork,0.09162907318741552
375,based,0.16094379124341004
140,information,0.051082562376599076
205,technology,0.010536051565782635
192,international,0.09162907318741552
323,journal,-0.04054651081081645
90,production,0.07192051811294521
389,research,-0.10136627702704111
83,isi,0.17328679513998632
85,taylor,0.17328679513998632
128,chart,0.13515503603605478
5,ix,0.13515503603605478
129,sustainable,0.13515503603605478
195,industrialization,-1.0986122886681098
303,export-orientation,0.0
13,complemented,0.0
48,import-substitution,-0.6931471805599453
91,two,0.13515503603605478
172,stages,0.13515503603605478
195,industrialization,0.0
46,modernization,-0.6931471805599453
368,formulation,0.0
118,development,-0.626381484247684
60,motivations,-0.6931471805599453
118,development,-0.2824326201290679
103,human,0.0
142,resources,0.0
328,protection,0.0
82,environment,0.0
180,united,0.04462871026284196
280,nations,0.10216512475319815
89,industrial,0.0
118,development,-0.06729444732424258
346,organization,0.10216512475319815
286,vienna,0.0
192,international,-0.09589402415059363
76,centre,0.13515503603605478
203,box,-0.6931471805599453
286,vienna,-0.20273255405408222
248,austria,0.0
392,tel,-0.34657359027997264
364,26026-0,0.0
72,fax,-1.3862943611198906
223,unido,0.5013591322587581
19,brussels,0.16711971075291934
149,office,0.5013591322587581
223,unido,0.5013591322587581
330,geneva,0.12206803207423442
149,office,0.5013591322587581
223,unido,0.5013591322587581
120,york,0.013087003961820384
